PSNR,SSIM
33.11581559131837,0.8852596
34.07017136885314,0.91139716
33.42076253199992,0.9124163
34.406190379024245,0.927794
31.90016158577011,0.8791585
33.965763267695394,0.9252055
36.57226485918213,0.9441734
33.76661946206358,0.91876316
35.36706755953809,0.9240454
33.546146503401054,0.89300793
31.924407314785682,0.89636636
32.91352455088908,0.89619726
35.284366706163674,0.945827
33.126252789843186,0.89595634
32.17070587258314,0.9120426
33.42396554566199,0.9033827
36.24805586664823,0.9366544
34.75120919210169,0.9068671
31.63093652528765,0.8728115
35.97020902494136,0.91307765
35.00837063055242,0.95726067
32.614127422625984,0.8983088
33.30526836871204,0.91058826
32.90498536340464,0.88317585
32.31903869195774,0.8968274
34.92101404199044,0.89134336
35.29796711056396,0.90134054
33.98313621708101,0.89081883
31.573087146949685,0.88420105
34.54715393798101,0.8830981
34.5131560147275,0.9184857
31.126002952772165,0.8683613
35.696465307006406,0.9085806
33.34867137006896,0.91416866
36.53461093214531,0.9101574
34.271344982224136,0.90279776
31.765453935495227,0.8606865
33.80357315754705,0.8802674
33.840896692968705,0.8831322
35.40041279768951,0.89705795
32.391583627337674,0.89868325
35.33612913041444,0.90829057
36.34442351448067,0.89110494
33.88066946756263,0.8955807
37.17835868920594,0.925965
31.672053932503914,0.8532674
31.846514845800566,0.8466266
32.57064547131756,0.89073396
34.96157563123453,0.90490514
34.14027714022312,0.89493537
28.370834236205617,0.9226096
37.096819495623386,0.9346437
32.67935118185909,0.88075584
33.49484767762106,0.86793536
35.00114372353098,0.89050597
34.656676731929934,0.9019754
36.82129039106148,0.9342189
32.332222544807465,0.8303089
34.47150161143717,0.88143903
32.997291640547324,0.89178485
32.54615427674115,0.88190585
33.636963452507224,0.91917944
31.67892853473586,0.89318633
34.209068046554535,0.8488895
33.107670282923884,0.9195857
32.32007667621318,0.8425259
35.12163416076809,0.9084713
33.359167006017934,0.871075
34.895434951351525,0.9128196
32.67218508985338,0.8598404
34.27937372864247,0.90732527
34.618853463374094,0.8818006
33.536711570062664,0.8894809
33.25741215555349,0.9245871
34.130643340600535,0.8867381
33.07939157821474,0.88512534
28.613157564052788,0.9188495
36.334970525276745,0.88317186
36.054404017394944,0.92451197
31.624009912137478,0.88666207
33.94338915472445,0.8677948
32.27883996174513,0.90182894
31.312710285828594,0.9139802
31.77427780384445,0.8476699
31.794770576700916,0.8373513
36.91248597109038,0.93435025
32.58079611196054,0.90055436
35.32878210938763,0.9120664
33.860367415058924,0.9092686
34.18888693519981,0.90822
33.132956393287174,0.8785021
34.32239298388237,0.9051204
32.99568805566722,0.91816837
34.66335217668647,0.8860962
31.639934042164622,0.88652563
33.59576789162047,0.89092064
35.05414283755804,0.9274177
33.51238325183338,0.9118951
33.59437503340705,0.9286515
34.72421937847297,0.9018524
31.582403736842473,0.8887294
31.265085890201775,0.83199996
31.870462126847286,0.8836059
36.407563167608515,0.90385133
29.63341892785135,0.8731764
30.15730275727588,0.8916231
33.01340487220706,0.917991
32.840197447920175,0.8778751
31.66078963010677,0.8818446
33.65710191029526,0.856272
35.8166780699286,0.91278416
35.21258531177007,0.8910753
33.32892765863144,0.9225793
33.747409045255054,0.89391357
36.39721460067133,0.9306447
33.394603135602495,0.89471406
33.20634605071432,0.9091263
32.72162105199826,0.8992552
32.88326778377592,0.90366983
31.792470813030192,0.8873701
32.10910781904274,0.9115624
36.17445507759528,0.9443862
34.16323828429597,0.89279014
34.4837544639783,0.91219395
35.48537568588395,0.89547944
33.12790557015485,0.88468915
33.92891261138309,0.84805226
33.990485691652765,0.86306256
35.943814125851205,0.92074233
33.74766654376346,0.9045038
35.73831273896544,0.90837884
32.50826207102196,0.875278
31.798256705676042,0.8720591
36.399964551714646,0.9256894
35.301429717841174,0.91304874
31.886276891877156,0.84702826
36.20211259147415,0.9227628
34.82962529431832,0.9058165
31.931965364597282,0.83667135
38.513316232600666,0.9358496
36.57315491238661,0.9132388
33.0785086889391,0.8837579
30.710014471058553,0.87370396
32.161862475540765,0.8717888
36.79678632827938,0.92913955
31.793981822854583,0.8430069
30.967236556040017,0.81622964
34.99777535619966,0.9062519
32.23839263170833,0.85040194
33.783731939734444,0.8600659
33.78175840369964,0.8572605
31.430689056906097,0.8445808
34.70490615229873,0.9149774
34.307009833607424,0.8814276
39.71836614116879,0.99416965
37.847335343185215,0.94466096
35.42202902659002,0.91001797
35.245926023234816,0.91378444
38.73795164890879,0.9938337
34.849369856177674,0.90490395
38.74576302182443,0.9840711
34.24231695929279,0.8847089
34.469371790305686,0.8748484
33.02547469505208,0.86195236
35.40056408408242,0.90267307
35.59941407659395,0.92089176
35.33345608885327,0.9207671
37.641071370430495,0.93985915
32.52592227453264,0.8695934
28.88170387101198,0.87730503
38.91990136455362,0.9692039
32.868596707856284,0.89763254
36.37045613234042,0.9141731
34.5439333719981,0.9139361
35.56036440100242,0.90038127
38.4742798244136,0.99568796
38.725287299221556,0.9463195
33.8258134001555,0.91189027
33.76946619503325,0.89819247
34.93501188499725,0.8968175
33.08173348000259,0.8844517
36.57147605397001,0.91137457
35.001900833755634,0.9081413
34.83485145643855,0.9118263
34.80293548220564,0.89905494
31.94865286407607,0.8521473
37.32593315040497,0.929871
30.453883065803925,0.89177006
36.32413935277143,0.92239684
36.941523404180245,0.93819636
38.87906647491118,0.9941996
33.15452478267164,0.88906926
36.581160360152715,0.9076001
37.2291776525144,0.9332056
35.84673559590954,0.9151487
34.97420086301033,0.8908725
33.12620901369534,0.87563187
36.01835582775712,0.9179156
34.306949910308454,0.89134145
36.92735537205269,0.9396355
31.894239855029753,0.83036345
35.358547245526466,0.9069955
30.945451147892452,0.87102
29.25097621026648,0.7888519
35.30327225778967,0.913027
35.30910042634354,0.9120701
35.66189918790021,0.90161896
33.72638620489765,0.9011268
32.107200363187076,0.87420464
38.041392995802546,0.95096797
36.02705665855533,0.8880682
34.42144755765856,0.8931506
31.15103905656206,0.8659155
36.31621838570476,0.9012206
30.202442220918947,0.8428495
37.122970522293535,0.93148327
34.84154210002195,0.8945799
33.25566247390765,0.8455681
31.988128807848,0.9151822
33.32149362413744,0.8822198
37.22102967133246,0.9237085
35.01160932605504,0.8990619
38.42967828507594,0.96577
36.50728730151978,0.91409254
35.59901886729053,0.9165855
36.07522449500368,0.9161288
37.80844127993098,0.9458261
38.734862230130524,0.95062107
36.073728594789955,0.9032414
34.49910376261852,0.873102
34.53342279777228,0.8592458
35.7675035948771,0.93296796
35.65765566562427,0.8977365
35.71223281876995,0.9023617
38.78815340844634,0.9554946
36.50689842369587,0.9321106
38.054846444987,0.9339824
35.239674504446896,0.9111016
32.81705351228823,0.8670618
36.09773918148096,0.9232152
37.51032213506432,0.9353431
35.86004049869005,0.94139296
35.761027316948564,0.89895797
34.65489795437626,0.89769846
38.60963426133649,0.9709335
34.9437579441914,0.9240444
35.56208535266653,0.91425496
33.65932372292755,0.8821462
